"Hillnumber","Hillname","_Section","ParentMa","ParentSMC","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude","GridrefXY","Country","Tumponly","MVNumber","classification"
1972,"Y Garn",30.2,NULL,NULL,947,3107,"SH630595","SH 63092 59572","SH635584",711,236,"cairn/shelter",NULL,"Abney level","2020-01-05 00:00:00","Added to Trail 100 list Jan 2020","115","OL17W",263089,359569,53.115691,-4.047079,"SH6308959569","W",0,NULL,"{Ma,F,Sim,Hew,N}"
1973,"Foel-fras",30.2,1965,NULL,944.1,3097,"SH696681","SH 69616 68124","SH 6880 6651",881.3,62.8,"2m high rock spike 70m SW of trig point","rock spike is higher than top of trig point and about 50cm higher than block of rock 30m SW of trig point","Abney level/Leica RX1250","2017-12-13 00:00:00",NULL,"115","OL17E",269613,368121,53.194157,-3.953149,"SH6961368121","W",0,NULL,"{F,Sim,Hew,N}"
1974,"Garnedd Uchaf [Carnedd Gwenllian]",30.2,1965,NULL,925,3035,"SH686669","SH 68701 66905","SH 6916 6734",892,33,"rock outcrop",NULL,"Abney level/Leica RX1250","2017-12-13 00:00:00","summit and col measured as 925.0 and 892.0m respectively","115","OL17E OL17W",268698,366902,53.18298,-3.966335,"SH6869866902","W",0,NULL,"{F,Sim,Hew,N}"
1975,"Elidir Fawr",30.2,NULL,NULL,924,3031,"SH611612","SH 61176 61292","SH626614",712,212,"rock c 25m SSW of windshelter","windshelter is at SH 61197 61304","Abney level","2016-10-18 00:00:00",NULL,"115","OL17W",261173,361289,53.130647,-4.076431,"SH6117361289","W",0,NULL,"{Ma,F,Sim,Hew,N}"
1976,"Crib Goch",30.2,1963,NULL,923,3028,"SH624551","SH 62424 55189","SH621551",858,65,"rock",NULL,NULL,"2020-01-05 00:00:00","Added to Trail 100 list Jan 2020","115","OL17W",262421,355186,53.076145,-4.055175,"SH6242155186","W",0,NULL,"{F,Sim,Hew,N}"
1977,"Tryfan",30.2,NULL,NULL,917.5,3010,"SH664593","SH 66408 59390","SH661588",727,191,"Adam",NULL,"Leica 530","2010-06-28 00:00:00",NULL,"115","OL17W",266405,359387,53.114898,-3.997491,"SH6640559387","W",0,NULL,"{Ma,F,Sim,Hew,N}"
1978,"Y Lliwedd",30.2,NULL,NULL,898,2946,"SH622533","SH 62245 53339","SH619537",744,154,"rock",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W",262242,353336,53.059479,-4.057053,"SH6224253336","W",0,NULL,"{Ma,Sim,Hew,N}"
1979,"Y Lliwedd East Top",30.2,1978,NULL,893,2930,"SH624532","SH 62405 53253","SH622532",878,15,"rock",NULL,NULL,"2009-06-08 00:00:00",NULL,"115","OL17W",262402,353250,53.058748,-4.05463,"SH6240253250","W",0,NULL,"{N}"
1980,"Moel Siabod",30.2,NULL,NULL,872.2,2862,"SH705546","SH 70527 54634","SH 6604 5560",272.3,599.9,"rock 4m WSW of trig point",NULL,"obvious summit/Trimble GeoXH 6000","2018-05-15 00:00:00","LIDAR data indicates a col height of 272.5 with a consequent drop of 599.7m","115","OL18E",270524,354631,53.073185,-3.934069,"SH7052454631","W",0,NULL,"{Ma,Sim,Hew,N}"
1981,"Llwytmor",30.2,1965,NULL,849,2785,"SH689692","SH 68950 69227","SH691690",776,73,"small cairn",NULL,NULL,"2014-10-19 00:00:00",NULL,"115","OL17E OL17W",268947,369224,53.203902,-3.963564,"SH6894769224","W",0,NULL,"{Sim,Hew,N}"
1982,"Pen yr Helgi Du",30.2,1965,NULL,832.6,2732,"SH697630","SH 69781 63048","SH 6943 6334",747.8,84.7,"scattered cairn on W edge of summit","ground 5m SE of cairn is as high; ground 25m SE at SH 69792 63025 is 0.3m lower","Abney level/Trimble GeoXH 6000","2015-09-12 00:00:00",NULL,"115","OL17E",269778,363045,53.148595,-3.948612,"SH6977863045","W",0,NULL,"{Sim,Hew,N}"
1983,"Foel-goch",30.2,1972,NULL,831,2726,"SH628612","SH 62861 61214","SH627602",755,76,"cairn",NULL,NULL,"2012-12-10 00:00:00",NULL,"115","OL17W",262858,361211,53.130382,-4.05123,"SH6285861211","W",0,NULL,"{Sim,Hew,N}"
1984,"Carnedd y Filiast",30.2,1975,NULL,821,2694,"SH620627","SH 62041 62739","SH620615",745,76,"small cairn","cairn is probably higher than windshelter 35m N at SH 62045 62775",NULL,"2001-10-28 00:00:00",NULL,"115","OL17W",262038,362736,53.14387,-4.064135,"SH6203862736","W",0,NULL,"{Sim,Hew,N}"
1985,"Lliwedd Bach",30.2,1978,NULL,818,2684,"SH627532","SH 62754 53232","SH626531",802,16,"upright rock",NULL,NULL,"2012-08-15 00:00:00",NULL,"115","OL17W",262751,353229,53.058649,-4.049417,"SH6275153229","W",0,NULL,"{N}"
1986,"Mynydd Perfedd",30.2,1975,NULL,813,2667,"SH623618","SH 62316 61891","SH622623",793,20,"shelter","rock spike 10m S at SH 62319 61882 may be as high",NULL,"2012-12-10 00:00:00",NULL,"115","OL17W",262313,361888,53.136323,-4.059662,"SH6231361888","W",0,NULL,"{N,sSim}"
1987,"Bera Bach",30.2,1965,NULL,806.5,2646,"SH672677","SH 67209 67772","SH 6758 6760",788.7,17.8,"rock",NULL,"Leica RX1250","2017-08-05 00:00:00",NULL,"115","OL17W",267206,367767,53.190381,-3.989008,"SH6720667767","W",0,NULL,"{N}"
1988,"Y Foel Goch",30.2,1967,NULL,805,2641,"SH677582","SH 67784 58219","SH672582",742,63,"cairn","rocks 50m S at SH 67775 58170 and rock 120m SW at SH 67715 58120 are as high as cairn","Abney level","2012-12-10 00:00:00",NULL,"115","OL17W",267781,358216,53.10472,-3.976462,"SH6778158216","W",0,NULL,"{Sim,Hew,N}"
1989,"Pen Llithrig y Wrach",30.2,NULL,NULL,798.6,2620,"SH716622","SH 71625 62293","SH 7095 6263",618.3,180.3,"cairn",NULL,"obvious summit/Trimble GeoXH 6000","2015-09-12 00:00:00",NULL,"115","OL17E",271622,362290,53.14226,-3.920754,"SH7162262290","W",0,NULL,"{Ma,Sim,Hew,N}"
1990,"Foel Meirch",30.2,1965,NULL,800,2625,"SH658637","SH 65878 63744","SH658636",785,15,"spike of rock","spike of rock 8m N at SH 65876 63753 is 5cm lower; pile of loose stones 10m NW at SH 65870 63754 is 20cm lower","Abney level","2009-11-20 00:00:00",NULL,"115","OL17W",265875,363741,53.153879,-4.007227,"SH6587563741","W",0,NULL,"{N}"
1991,"Bera Mawr",30.2,1965,NULL,793.7,2604,"SH674682","SH 67485 68274","SH 6751 6815",764,29.7,"rock pinnacle",NULL,"Trimble GeoXH 6000/Leica RX1250","2017-08-05 00:00:00","Col height measured as 764.0m. Deleted from the Simms July 2017","115","OL17W",267482,368267,53.194941,-3.985087,"SH6748268267","W",0,NULL,"{N,sSim}"
1992,"Moel Hebog",30.2,NULL,NULL,783,2569,"SH564469","SH 56485 46943","SH576513",198,585,"trig point","cairn 40m ENE at SH 56519 46963 is probably lower",NULL,"2007-03-10 00:00:00",NULL,"115","OL17W 254",256482,346940,53.000507,-4.140093,"SH5648246940","W",0,NULL,"{Ma,Sim,Hew,N}"
1993,"Drum",30.2,1965,NULL,771,2530,"SH708695","SH 70846 69588","SH 7068 6904",722.6,48.4,"rock in shelter",NULL,"Leica RX1250","2017-12-13 00:00:00","summit measured as 771.0m","115","OL17E",270843,369585,53.20761,-3.935341,"SH7084369585","W",0,NULL,"{Sim,Hew,N}"
1994,"Moelwyn Mawr",30.2,NULL,NULL,770,2526,"SH658448","SH 65825 44864","SH699485",385,385,"ground next to trig point",NULL,NULL,"2003-02-10 00:00:00",NULL,"124","OL18W",265822,344861,52.984252,-4.000142,"SH6582244861","W",0,NULL,"{Ma,Sim,Hew,N}"
1995,"Gallt yr Ogof",30.2,1967,NULL,763,2503,"SH685585","SH 68529 58569","SH681583",721,42,"rock 4m from cairn","rocky ground 8m NW at SH 68525 58575 & large rock 14m N at SH 68525 58585 are of equal height","Abney level","2012-12-10 00:00:00",NULL,"115","OL17E OL17W",268526,358566,53.108049,-3.965484,"SH6852658566","W",0,NULL,"{Sim,Hew,N}"
1996,"Drosgl",30.2,1965,NULL,756.9,2483,"SH663679","SH 66388 67987","SH 6678 6781",720.2,36.6,"small cairn south of old burial mound",NULL,"Trimble GeoXH 6000","2014-10-04 00:00:00",NULL,"115","OL17W",266385,367984,53.192125,-4.001379,"SH6638567984","W",0,NULL,"{Sim,Hew,N}"
1997,"Yr Aran",30.2,NULL,NULL,747.2,2451,"SH604515","SH 60440 51531","SH605521",512,235,"rock by cairn","small knoll 25m NE is at least 0.5m lower","Leica NA730/Leica 530","2020-01-05 00:00:00","Added to Trail 100 list Jan 2020","115","OL17W",260437,351528,53.042769,-4.083184,"SH6043751528","W",0,NULL,"{Ma,Sim,Hew,N}"
1998,"Craig Eigiau",30.2,1965,NULL,735,2411,"SH713654","SH 71318 65428","SH 7119 6546",714.1,20.9,"sloping slab",NULL,"Abney level/Leica RX1250","2017-12-13 00:00:00","summit measured as 735.0m","115","OL17E",271315,365425,53.170351,-3.926602,"SH7131565425","W",0,NULL,"{N,sSim}"
1999,"Craig Cwm Silyn",30.2,NULL,NULL,734,2408,"SH525502","SH 52559 50267","SH553496",336,398,"windshelter on ancient cairn",NULL,"Abney level","2001-10-28 00:00:00",NULL,"115","OL17W 254",252556,350264,53.029299,-4.200069,"SH5255650264","W",0,NULL,"{Ma,Sim,Hew,N}"
2000,"Moel Eilio",30.2,NULL,NULL,726,2382,"SH555577","SH 55581 57718","SH572558",467,259,"windshelter",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W 254",255578,357715,53.097055,-4.158386,"SH5557857715","W",0,NULL,"{Ma,Sim,Hew,N}"
2001,"Carnedd y Filiast North Top [Y Fronllwyd]",30.2,1975,NULL,720,2362,"SH617631","SH 61751 63165","SH 61870 63015",704,16.1,"pointed rock","about 30m S of windshelter which is at SH 61755 63190","Leica NA730","2007-12-22 00:00:00","New Nuttall 2 Sept 2007","115","OL17W",261748,363162,53.147622,-4.068652,"SH6174863162","W",0,NULL,"{N}"
2002,"Llechog",30.2,1963,NULL,720,2362,"SH606567","SH 60616 56756","SH 6055 5663",692.1,28,"rock",NULL,"Abney level/Trimble GeoXH 6000","2014-10-19 00:00:00","summit surveyed as 720.0 m","115","OL17W",260613,356753,53.089752,-4.082825,"SH6061356753","W",0,NULL,"{N,sSim}"
2003,"Moelwyn Bach",30.2,1994,NULL,710,2329,"SH660437","SH 66032 43746","SH660440",586,124,"cairn on rocky rib","rock 40m NE at SH 66059 43778 is as high; small pile of stones 100m NE is probably lower","Abney level","2009-11-20 00:00:00",NULL,"124","OL18W",266029,343743,52.97426,-3.996597,"SH6602943743","W",0,NULL,"{Hu,Sim,Hew,N}"
2004,"Trum y Ddysgl",30.2,NULL,NULL,709,2326,"SH544516","SH 54487 51646","SH531507",505,204,"no feature: grass",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W 254",254484,351643,53.042214,-4.171965,"SH5448451643","W",0,NULL,"{Ma,Sim,Hew,N}"
2005,"Garnedd-goch",30.2,1999,NULL,700,2297,"SH511495","SH 51118 49525","SH519499",676,24,"ancient cairn by trig point","trig point remains 3m from cairn apex; rock 30m SE (SH 51140 49505) is about 20cm lower","Abney level","2020-04-06 00:00:00",NULL,"115","OL17W 254",251115,349522,53.022234,-4.221197,"SH5111549522","W",0,NULL,"{N,sSim}"
2006,"Allt-Fawr [Allt Fawr]",30.2,NULL,NULL,698,2290,"SH681474","SH 68174 47463","SH664463",455,243,"rocky outcrop","rock 5m E slightly lower; ground 25m W is about 1.5m lower; ground 110m SW is at least 3m lower","Abney level","2001-10-28 00:00:00",NULL,"115","OL17W",268171,347460,53.008185,-3.966234,"SH6817147460","W",0,NULL,"{Ma,Sim,Hew,N}"
2007,"Mynydd Mawr",30.2,NULL,NULL,698,2290,"SH539546","SH 53975 54695","SH561535",235,463,"cairn N of windshelter","cairn 20m SSE may be as high",NULL,"2014-10-19 00:00:00","col surveyed","115","OL17W 254",253972,354692,53.069463,-4.180979,"SH5397254692","W",0,NULL,"{Ma,Sim,Hew,N}"
2008,"Mynydd Drws-y-coed",30.2,2004,NULL,695,2280,"SH548518","SH 54894 51820","SH547516",638,57,"no feature: grass",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W 254",254891,351817,53.043888,-4.165977,"SH5489151817","W",0,NULL,"{Sim,Hew,N}"
2009,"Cnicht",30.2,2006,NULL,689,2260,"SH645466","SH 64549 46618","SH656477",585,104,"middle of three rocky outcrops",NULL,"Abney level","2009-11-20 00:00:00",NULL,"115","OL17W",264546,346615,52.999689,-4.019872,"SH6454646615","W",0,NULL,"{Hu,Sim,Hew,N}"
2010,"Craigysgafn",30.2,1994,NULL,689.9,2263,"SH659443","SH 65997 44336","SH 6599 4459",663.3,26.6,"no feature: rocky top",NULL,NULL,"2020-03-31 00:00:00",NULL,"124","OL18W",265994,344333,52.979552,-3.997363,"SH6599444333","W",0,NULL,"{N,sSim}"
2012,"Cnicht North Top",30.2,2006,NULL,688,2257,"SH648468","SH 64803 46870","SH646467",670,18,"small cairn on rocky outcrop",NULL,"Abney level","2012-08-15 00:00:00",NULL,"115","OL17W",264800,346867,53.002017,-4.016195,"SH6480046867","W",0,NULL,"{N}"
2013,"Creigiau Gleision",30.2,NULL,NULL,678,2224,"SH728615","SH 72902 61540","SH717609",416,262,"cairn",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17E",272899,361537,53.135801,-3.901374,"SH7289961537","W",0,NULL,"{Ma,Sim,Hew,N}"
2014,"Moel Druman",30.2,2006,NULL,676,2218,"SH671476","SH 67161 47645","SH674475",615,61,"rocky outcrop N of fence","ground 14m W and just S of fence is 0.3m lower","Abney level","2001-10-28 00:00:00",NULL,"115","OL17W",267158,347642,53.00957,-3.981398,"SH6715847642","W",0,NULL,"{Sim,Hew,N}"
2015,"Moel Cynghorion",30.2,NULL,NULL,674,2211,"SH586563","SH 58610 56395","SH591557",498,176,"small pile of stones near stile",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W",258607,356392,53.085982,-4.112599,"SH5860756392","W",0,NULL,"{Ma,Sim,Hew,N}"
2016,"Ysgafell Wen",30.2,2006,NULL,672,2205,"SH666481","SH 66699 48126","SH668478",615,57,"outcrop","Top 140m WSW at SH 66561 48092 is about 0.75m lower","Abney level","2001-10-28 00:00:00",NULL,"115","OL17W",266696,348123,53.013776,-3.988478,"SH6669648123","W",0,NULL,"{Sim,Hew,N}"
2017,"Ysgafell Wen North Top",30.2,2006,NULL,669,2195,"SH663485","SH 66352 48540","SH663483",639,30,"small cairn on rocky outcrop",NULL,"Abney level","2020-04-06 00:00:00",NULL,"115","OL17W",266349,348537,53.017409,-3.993818,"SH6634948537","W",0,NULL,"{Sim,Hew,N}"
2019,"Mynydd Tal-y-mignedd",30.2,2004,NULL,653,2142,"SH535513","SH 53534 51402","SH538513",602,51,"rock at base of obelisk",NULL,NULL,"2001-10-28 00:00:00",NULL,"115","OL17W 254",253531,351399,53.039762,-4.186058,"SH5353151399","W",0,NULL,"{Sim,Hew,N}"
2020,"Ysgafell Wen Far North Top",30.2,2006,NULL,658.9,2162,"SH663487","SH 66387 48771","SH 6638 4866",639.9,19.1,"2 or 3 stones on outcrop",NULL,"Abney level/Leica RX1250","2017-08-05 00:00:00",NULL,"115","OL17W",266384,348767,53.019484,-3.993392,"SH6638448767","W",0,NULL,"{N}"
2021,"Moel-yr-hydd",30.2,1994,NULL,648,2126,"SH672454","SH 67212 45439","SH667452",566,82,"rocky outcrop","rocky outcrop 9m SW may be as high",NULL,"2001-10-28 00:00:00",NULL,"115","OL17W OL18W",267209,345436,52.989764,-3.979731,"SH6720945436","W",0,NULL,"{Sim,Hew,N}"
2022,"Gyrn Wigau",30.2,1965,NULL,643,2110,"SH654675","SH 65419 67535","SH655676",628,15,"no feature: rock","centre top","Abney level","2001-10-28 00:00:00",NULL,"115","OL17W",265416,367532,53.18782,-4.015682,"SH6541667532","W",0,NULL,"{N}"
2024,"Moel Lefn",30.2,1992,NULL,638,2093,"SH552485","SH 55295 48554","SH554481",576,62,"rocky outcrop","cairn no longer present (23/10/10); rocky outcrop on S top (SH 55307 48503) is lower",NULL,"2009-06-08 00:00:00",NULL,"115","OL17W 254",255292,348551,53.014658,-4.158534,"SH5529248551","W",0,NULL,"{Sim,Hew,N}"
2025,"Creigiau Gleision North Top",30.2,2013,NULL,631.8,2073,"SH733622","SH 73370 62251","SH 7324 6211",595.9,35.9,"ground about 5m S of small cairn",NULL,NULL,"2020-03-31 00:00:00",NULL,"115","OL17E",273367,362248,53.1423,-3.894664,"SH7336762248","W",0,NULL,"{Sim,Hew,N}"
2026,"Y Garn",30.2,2004,NULL,633,2077,"SH551526","SH 55152 52649","SH550522",612,21,"cairn",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"115","OL17W 254",255149,352646,53.051405,-4.162504,"SH5514952646","W",0,NULL,"{N,sSim}"
2027,"Foel Gron",30.2,2000,NULL,629,2064,"SH560568","SH 56048 56850","SH 5589 5708",598.3,30.7,"eastmost grassy knoll near fence corner","grassy knoll 40m WNW at SH 56007 56860 is lower","Abney level/Leica RX1250","2017-12-13 00:00:00","summit measured as 629.0m","115","OL17W 254",256045,356847,53.089384,-4.151027,"SH5604556847","W",0,NULL,"{Sim,Hew,N}"
2028,"Pen y Castell",30.2,1965,NULL,623.5,2046,"SH721688","SH 72190 68883","SH 71943 69030",594.5,29,"boulder","boulder is 0.46m higher than outcrop 60m SW at SH 72222 68925 and 2.43m higher than rock tor 230m ESE at SH 72437 68877","Leica NA730/Leica RX1250","2017-12-13 00:00:00","The Nuttalls give the summit as the rock tor at SH724688. Drop 29.0m by line survey.","115","OL17E",272187,368880,53.201601,-3.914947,"SH7218768880","W",0,NULL,"{N,sSim}"
2029,"Craiglwyn",30.2,2013,NULL,623,2044,"SH730608","SH 73056 60891","SH728611",601,22,"small cairn",NULL,NULL,"2020-04-06 00:00:00",NULL,"115","OL17E",273053,360888,53.130007,-3.898817,"SH7305360888","W",0,NULL,"{N,sSim}"
2030,"Gallt y Wenallt",30.2,1978,NULL,619,2031,"SH642532","SH 64244 53269","SH 6401 5345",597,22,"rock 2m NW of cairn","ground 130m NW at SH 64136 53329 is probably lower",NULL,"2020-03-31 00:00:00","col 597.0","115","OL17W",264241,353266,53.059362,-4.027215,"SH6424153266","W",0,NULL,"{N,sSim}"
2031,"Tal y Fan",30.2,NULL,NULL,610,2001,"SH729726","SH 72939 72651","SH 7144 7185",420.5,189.6,"rock 3m SW of trig point","rock is 0.35m higher than base of trig point","Leica NA730/Leica GS15/Leica RX1250","2017-12-13 00:00:00","Summit height was measured as 610.0 +/-0.05m","115","OL17E",272936,372648,53.235632,-3.905242,"SH7293672648","W",0,NULL,"{Ma,Sim,Hew,N}"
2033,"Mynydd Graig Goch",30.2,1999,NULL,609.75,2000,"SH497485","SH 49732 48518","SH 50929 48808",539,71,"rock tor","20cm higher than summit of tor 40m NW at SH 49710 48560; several lower rock tors in summit area","Leica SmartRover 1200","2010-11-29 00:00:00","Promoted from Dewey list on 19 Sept 2008 following survey. See Database Notes","115 123","OL17W 254",249729,348515,53.012804,-4.241372,"SH4972948515","W",0,NULL,"{Sim,Hew,N}"
2053,"Arenig Fawr",30.4,NULL,NULL,854,2802,"SH827369","SH 82707 36951","SH665522",375,479,"trig point",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"124 125","OL18E",282704,336948,52.917116,-3.745937,"SH8270436948","W",0,NULL,"{Ma,Sim,Hew,N}"
2054,"Arenig Fawr South Top",30.4,2053,NULL,836,2743,"SH826366","SH 82687 36657","SH826367",814,22,"cairn",NULL,"obvious summit","2020-04-06 00:00:00",NULL,"124 125","OL18E",282684,336654,52.91447,-3.746128,"SH8268436654","W",0,NULL,"{N,sSim}"
2056,"Y Llethr",30.4,NULL,NULL,756,2480,"SH661257","SH 66137 25777","SH699346",195,561,"ground near slight bend in wall","summit is 25m S of cairn","Abney level","2010-03-28 00:00:00",NULL,"124","OL18W",266134,325773,52.812852,-3.987633,"SH6613425773","W",0,NULL,"{Ma,Sim,Hew,N}"
2057,"Moel Llyfnant",30.4,NULL,NULL,751,2464,"SH808351","SH 80831 35188","SH816354",545,206,"cairn on rocky outcrop",NULL,NULL,"2001-10-28 00:00:00",NULL,"124 125","OL18E OL23E",280828,335185,52.900862,-3.773176,"SH8082835185","W",0,NULL,"{Ma,Sim,Hew,N}"
2058,"Diffwys",30.4,2056,NULL,750.4,2462,"SH661234","SH 66131 23417","SH 66613 24396",602.8,147.6,"ground 5m N of trig point","ground is 0.08m higher than base of trig point","Leica NA730/Leica GS15/Trimble GeoXH 6000","2015-06-23 00:00:00",NULL,"124","OL18W",266128,323413,52.791647,-3.986755,"SH6612823413","W",0,NULL,"{Hu,Sim,Hew,N,sMa}"
2059,"Rhobell Fawr",30.4,NULL,NULL,734,2408,"SH786256","SH 78683 25668","SH823286",425,309,"trig point",NULL,"obvious summit","2020-01-05 00:00:00","Dropped from Trail 100 list Jan 2020","124","OL23E",278680,325664,52.814843,-3.801548,"SH7868025664","W",0,NULL,"{Ma,Sim,Hew,N}"
2060,"Rhinog Fawr",30.4,NULL,NULL,720,2362,"SH656290","SH 65700 29012","SH665281",357,363,"rock 8m W of cairn","rock by trig point 25m W at SH 65675 29012 is 1m lower; rock 5m S of cairn is 10cm lower","Abney level","2001-10-28 00:00:00",NULL,"124","OL18W",265697,329008,52.841807,-3.995444,"SH6569729008","W",0,NULL,"{Ma,Sim,Hew,N}"
2061,"Arenig Fawr South Ridge Top",30.4,2053,NULL,712,2336,"SH827359","SH 82746 35943","SH827361",694,18,"cairn",NULL,"obvious summit","2012-08-15 00:00:00",NULL,"124 125","OL18E OL23E",282743,335939,52.908067,-3.744993,"SH8274335939","W",0,NULL,"{N}"
2062,"Rhinog Fach",30.4,2056,NULL,711.6,2335,"SH664270","SH 66487 27027","SH665265",560.6,151,"cairn",NULL,"Trimble GeoXH 6000","2021-08-31 00:00:00",NULL,"124","OL18W",266484,327023,52.824169,-3.982954,"SH6648427023","W",0,NULL,"{Ma,Sim,Hew,N}"
2063,"Arenig Fach",30.4,NULL,NULL,689,2260,"SH820415","SH 82030 41596","SH785387",395,294,"boulder 5m SW of trig point",NULL,NULL,"2008-06-30 00:00:00",NULL,"124 125","OL18E",282027,341593,52.958704,-3.757691,"SH8202741593","W",0,NULL,"{Ma,Sim,Hew,N}"
2064,"Crib-y-rhiw",30.4,2056,NULL,681.2,2235,"SH663248","SH 66373 24873","SH661252",652,29,"embedded rock by path",NULL,"Trimble GeoXH 6000","2015-09-12 00:00:00",NULL,"124","OL18W",266370,324869,52.804788,-3.983764,"SH6637024869","W",0,NULL,"{N,sSim}"
2065,"Carnedd y Filiast",30.4,NULL,NULL,669,2195,"SH871445","SH 87119 44599","SH826441",353,316,"trig point",NULL,"obvious summit","2012-12-10 00:00:00",NULL,"124 125","OL18E",287116,344596,52.986783,-3.683015,"SH8711644596","W",0,NULL,"{Ma,Sim,Hew,N}"
2067,"Dduallt",30.4,2059,NULL,662,2172,"SH810273","SH 81057 27373","SH799264",524,138,"cairn on outcrop",NULL,NULL,"2009-11-20 00:00:00",NULL,"124 125","OL23E",281054,327369,52.830692,-3.766962,"SH8105427369","W",0,NULL,"{Hu,Sim,Hew,N}"
2068,"Manod Mawr",30.4,NULL,NULL,661,2169,"SH724446","SH 72442 44667","SH797413",395,266,"boulder with shelter","this feature is 50m E of trig point base in shelter","Abney level","2012-12-10 00:00:00",NULL,"124","OL18W",272439,344664,52.984099,-3.901557,"SH7243944664","W",0,NULL,"{Ma,Sim,Hew,N}"
